,firm,area,km,cost,year of prudaction,tracks,commercial,private
161,106,24,120000,99000,2015,0,0,1
162,87,4,28000,113000,2019,0,0,1
164,131,13,34000,76000,2020,0,0,1
165,68,13,24000,45000,2016,0,0,1
166,56,15,162000,62000,2016,0,0,1
167,52,20,63000,120000,2019,0,0,1
168,70,16,200000,15300,2008,0,0,1
169,144,6,67100,60550,2018,0,0,1
170,241,9,105000,52000,2017,0,0,1
171,235,34,115000,59000,2016,0,0,1
172,228,13,125000,57000,2017,0,0,1
173,241,13,23500,59000,2017,0,0,1
174,44,29,325000,12500,2003,0,0,1
175,243,16,130000,15000,2013,0,0,1
176,65,23,39000,91000,2018,0,0,1
177,201,21,79000,76900,2014,0,0,1
178,66,26,160000,13000,2008,0,0,1
179,232,12,160000,16500,2009,0,0,1
180,47,16,160000,30000,2009,0,0,1
181,182,13,180000,29000,2014,0,0,1
182,214,6,130000,12000,2004,0,0,1
183,45,22,164000,45500,2017,0,0,1
184,235,13,100000,90000,2017,0,0,1
185,51,23,86000,76000,2016,0,0,1
186,211,29,1200,88000,2022,0,0,1
187,68,10,24000,70000,2021,0,0,1
188,74,23,38000,101000,2018,0,0,1
189,69,13,37000,80000,2020,0,0,1
190,1,4,106000,50000,2011,0,0,1
191,96,32,106000,92500,2015,0,0,1
192,71,16,202332,12300,2009,0,0,1
193,208,23,35000,89000,2019,0,0,1
194,65,23,132000,69000,2017,0,0,1
195,154,23,44000,79000,2018,0,0,1
197,126,16,185000,3999,2004,0,0,1
198,124,13,5000,134000,2020,0,0,1
199,46,19,80000,67000,2016,0,0,1
200,173,31,300,45000,2012,0,1,0
201,230,23,58000,78000,2018,0,1,0
202,190,22,290000,39000,2014,0,1,0
204,191,6,215000,18000,2012,0,1,0
205,180,16,250000,28000,2010,0,1,0
206,149,30,380000,7500,2022,0,1,0
207,230,31,206000,25500,2012,0,1,0
208,30,10,125000,50000,1992,0,1,0
209,152,22,232000,60000,2016,0,1,0
210,188,26,238000,33500,2016,0,1,0
211,172,13,395951,30000,1988,0,1,0
212,167,5,165000,60000,2009,0,1,0
213,188,16,260781,15000,2013,0,1,0
214,240,26,138000,90000,2016,0,1,0
216,151,26,85000,105000,2019,0,1,0
217,150,24,380000,30000,2013,0,1,0
218,163,26,157000,122000,2014,0,1,0
219,222,34,147000,100000,2018,0,1,0
220,148,17,190000,17000,2011,0,1,0
221,22,19,350000,67000,2010,0,1,0
222,39,9,167000,88000,2015,0,1,0
223,112,19,368000,75000,2013,0,1,0
224,60,18,405000,110000,2012,0,1,0
225,127,19,30000,17000,1991,0,1,0
226,171,16,250000,30000,2011,0,1,0
227,189,16,260000,125000,2019,0,1,0
228,189,29,233000,80000,2017,0,1,0
229,22,20,260000,100000,2013,0,1,0
231,60,8,220000,165000,2014,0,1,0
232,222,34,147000,100000,2018,0,1,0
233,239,19,75000,195000,2019,0,1,0
234,112,3,230000,90000,2016,0,1,0
235,151,10,16000,144000,2020,0,1,0
236,151,26,85000,105000,2019,0,1,0
237,220,30,165000,110000,2019,0,1,0
238,240,26,138000,90000,2016,0,1,0
239,150,24,380000,30000,2013,0,1,0
240,189,33,272000,69000,2016,0,1,0
241,58,34,97000,220000,2018,0,1,0
242,73,30,43800,107000,2016,0,1,0
243,148,26,450,10000,2006,0,1,0
244,148,3,230000,60000,2017,0,1,0
245,222,4,100000,110000,2019,0,1,0
247,174,2,25000,212000,2020,0,1,0
248,189,12,315000,28000,2010,0,1,0
249,21,20,67000,170000,2019,0,1,0
252,199,26,138000,60000,2016,0,1,0
253,111,29,385000,110000,2016,0,1,0
254,185,18,80000,17500,2009,0,1,0
255,21,19,20000,46000,2008,0,1,0
256,189,3,156531,100000,2017,0,1,0
257,230,4,240000,5000,2007,0,1,0
258,102,13,309000,25000,2003,0,1,0
259,60,19,250000,172000,2015,0,1,0
261,148,16,130000,55000,2017,0,1,0
262,200,32,127000,18000,2011,0,1,0
266,222,26,261000,21000,2010,0,1,0
267,60,30,314000,120000,2012,0,1,0
268,148,7,44000,122000,2020,0,1,0
269,148,29,94000,130000,2020,0,1,0
272,148,26,149000,52000,2017,0,1,0
273,98,6,160000,86000,2015,0,1,0
275,67,23,250000,22000,2006,0,1,0
276,67,5,191000,20000,2007,0,1,0
278,148,19,125000,69000,2017,0,1,0
279,239,13,175000,65000,2013,0,1,0
280,98,29,74000,145000,2016,0,1,0
281,189,32,97000,65000,2012,0,1,0
284,166,7,80000,119999,2015,0,1,0
285,148,30,270000,37000,2016,0,1,0
286,189,29,380000,38500,2011,0,1,0
